,MouseID,Label,Acetate,Propionate,Isobutyrate,Butyrate,2-methyl-butyrate,Isovalerate,Valerate,3-methyl-valerate,Isocaproate,Caproate
Villapol_5D_190,190,ABX,-1.027634088,-1.094599677,-1.723246166,0.057313918,1.01701443,-1.200272091,-0.174706418,1.190963634,0.775441332,1.177301306
Villapol_5D_191,191,ABX,-0.899605863,-1.178709159,-0.077740569,-0.711702102,1.209446499,-1.168020245,0.256500016,1.369265876,0.498908771,0.058489251
Villapol_5D_192,192,ABX,-0.851936206,-0.53550874,-0.600162972,-0.591296479,0.095585722,-0.857792821,1.016913493,0.572738748,1.050695657,1.094678061
Villapol_5D_194,194,ABX,-0.855469514,-0.696285225,0.627235285,0.350376324,-0.352164777,0.386463192,0.698168027,0.233610995,0.123631796,0.720089838
Villapol_5D_195,195,ABX,-0.938034171,-0.98185932,-0.228007258,-0.871337062,0.683907269,-0.575688871,0.816746635,0.99097939,0.767252958,0.485766388
Villapol_5D_196,196,ABX,-0.790512916,-0.83333432,0.791978472,-0.64637481,0.46521675,-0.562800341,0.410374985,0.443712649,0.66528098,0.360331206
Villapol_5D_197,197,ABX,1.190545606,0.727430263,0.851306139,1.522629818,-0.792895602,0.461060985,-0.029210033,-1.406643088,-1.102220195,-1.527944566
Villapol_5D_198,198,ABX,1.298008068,1.211107363,-0.265584331,-0.009343261,1.260242795,0.207120249,-2.153316204,-0.667169511,-1.531486451,-1.570127061
Villapol_5D_199,199,ABX,-0.693222928,-0.634548046,1.479880021,-1.122441054,0.334103004,-0.667366245,-0.521456253,0.366209389,0.7996917,0.767828197
Villapol_5D_200,200,VEH,1.106625566,0.458437875,1.396074449,-0.080101876,-0.55678004,0.196675904,-0.63868212,-0.926728747,-0.125955008,-0.90267173
Villapol_5D_201,201,VEH,-0.617422446,-0.199480689,-0.866168535,-0.518346737,0.624804188,-1.312975176,-0.588593014,1.44208242,0.755249229,0.664123014
Villapol_5D_202,202,VEH,-0.745515272,-1.007062146,1.075988762,-1.381688612,0.35532769,-0.296434877,0.695609455,0.127296309,0.737223015,0.958083448
Villapol_5D_203,203,VEH,0.948505312,0.954127823,1.141454671,0.725595148,-0.02707812,0.512549758,-1.978572522,-1.082833618,-0.996056121,-0.872001383
Villapol_5D_204,204,VEH,-0.769959573,-0.546584844,-0.881176428,-0.675183427,0.245315698,-0.482013273,0.925432142,0.383729245,1.316162832,0.848338936
Villapol_5D_205,205,VEH,0.977558218,0.247436827,-2.06308026,0.20334072,0.124730896,0.975867265,0.011198506,-0.185375597,-0.618158711,0.076848551
Villapol_5D_206,206,VEH,-0.848053353,-0.410326561,-0.499620673,-0.065115004,-0.414173232,-0.734403036,1.217776782,0.558086106,0.893318286,1.123671817
Villapol_5D_207,207,VEH,1.011672424,0.987574298,0.008943136,0.809363576,-0.867569253,1.237133695,0.079382719,-0.580891715,-1.269364765,-0.773412465
Villapol_5D_208,208,VEH,1.027618816,1.18836944,0.189550834,0.108906419,-0.164233581,1.763595446,-1.274250911,-0.512312914,-0.921999163,-1.318075885
Villapol_5D_209,209,VEH,1.476832319,2.343814838,-0.357624576,2.8954045,-3.240800335,2.117300483,1.230684716,-2.316719571,-1.817616142,-1.371316923